"","Pclass","Sex","Age","SibSp","Parch","Fare"
"68",3,"male",19,0,0,8.1583
"69",3,"female",17,4,2,7.925
"70",3,"male",26,2,0,8.6625
"71",2,"male",32,0,0,10.5
"72",3,"female",16,5,2,46.9
"73",2,"male",21,0,0,73.5
"74",3,"male",26,1,0,14.4542
"75",3,"male",32,0,0,56.4958
"76",3,"male",25,0,0,7.65
"77",3,"male",18,0,0,7.8958
"78",3,"male",18,0,0,8.05
"79",2,"male",0.83,0,2,29
"80",3,"female",30,0,0,12.475
"81",3,"male",22,0,0,9
"82",3,"male",29,0,0,9.5
"83",3,"female",27,0,0,7.7875
"84",1,"male",28,0,0,47.1
"85",2,"female",17,0,0,10.5
"86",3,"female",33,3,0,15.85
"87",3,"male",16,1,3,34.375
"88",3,"male",4,0,0,8.05
"89",1,"female",23,3,2,263
"90",3,"male",24,0,0,8.05
"91",3,"male",29,0,0,8.05
"92",3,"male",20,0,0,7.8542
"93",1,"male",46,1,0,61.175
"94",3,"male",26,1,2,20.575
"95",3,"male",59,0,0,7.25
"96",3,"male",44,0,0,8.05
"97",1,"male",71,0,0,34.6542
"98",1,"male",23,0,1,63.3583
"99",2,"female",34,0,1,23
"100",2,"male",34,1,0,26
"101",3,"female",28,0,0,7.8958
"102",3,"male",18,0,0,7.8958
"103",1,"male",21,0,1,77.2875
"104",3,"male",33,0,0,8.6542
"105",3,"male",37,2,0,7.925
"106",3,"male",28,0,0,7.8958
"107",3,"female",21,0,0,7.65
"108",3,"male",6,0,0,7.775
"109",3,"male",38,0,0,7.8958
"110",3,"female",35,1,0,24.15
"111",1,"male",47,0,0,52
"112",3,"female",14.5,1,0,14.4542
"113",3,"male",22,0,0,8.05
"114",3,"female",20,1,0,9.825
"115",3,"female",17,0,0,14.4583
"116",3,"male",21,0,0,7.925
"117",3,"male",70.5,0,0,7.75
"118",2,"male",29,1,0,21
"119",1,"male",24,0,1,247.5208
"120",3,"female",2,4,2,31.275
"121",2,"male",21,2,0,73.5
"122",3,"male",45,0,0,8.05
"123",2,"male",32.5,1,0,30.0708
"124",2,"female",32.5,0,0,13
"125",1,"male",54,0,1,77.2875
"126",3,"male",12,1,0,11.2417
"127",3,"male",18,0,0,7.75
"128",3,"male",24,0,0,7.1417
"129",3,"female",26,1,1,22.3583
"130",3,"male",45,0,0,6.975
"131",3,"male",33,0,0,7.8958
"132",3,"male",20,0,0,7.05
"133",3,"female",47,1,0,14.5
"134",2,"female",29,1,0,26
"135",2,"male",25,0,0,13
"136",2,"male",23,0,0,15.0458
"137",1,"female",19,0,2,26.2833
"138",1,"male",37,1,0,53.1
"139",3,"male",16,0,0,9.2167
"140",1,"male",24,0,0,79.2
"141",3,"female",29,0,2,15.2458
"142",3,"female",22,0,0,7.75
"143",3,"female",24,1,0,15.85
"144",3,"male",19,0,0,6.75
"145",2,"male",18,0,0,11.5
"146",2,"male",19,1,1,36.75
"147",3,"male",27,0,0,7.7958
"148",3,"female",9,2,2,34.375
"149",2,"male",36.5,0,2,26
"150",2,"male",42,0,0,13
"151",2,"male",51,0,0,12.525
"152",1,"female",22,1,0,66.6
"153",3,"male",55.5,0,0,8.05
"154",3,"male",40.5,0,2,14.5
"155",3,"male",4,0,0,7.3125
"156",1,"male",51,0,1,61.3792
"157",3,"female",16,0,0,7.7333
"158",3,"male",30,0,0,8.05
"159",3,"male",45,0,0,8.6625
"160",3,"male",14,8,2,69.55
"161",3,"male",44,0,1,16.1
"162",2,"female",40,0,0,15.75
"163",3,"male",26,0,0,7.775
"164",3,"male",17,0,0,8.6625
"165",3,"male",1,4,1,39.6875
"166",3,"male",9,0,2,20.525
"167",1,"female",24,0,1,55
"168",3,"female",45,1,4,27.9
"169",1,"male",39,0,0,25.925
"170",3,"male",28,0,0,56.4958
"171",1,"male",61,0,0,33.5
"172",3,"male",4,4,1,29.125
"173",3,"female",1,1,1,11.1333
"174",3,"male",21,0,0,7.925
"175",1,"male",56,0,0,30.6958
"176",3,"male",18,1,1,7.8542
"177",3,"male",3,3,1,25.4667
"178",1,"female",50,0,0,28.7125
"179",2,"male",30,0,0,13
"180",3,"male",36,0,0,0
"181",3,"female",9,8,2,69.55
"182",2,"male",39,0,0,15.05
"183",3,"male",9,4,2,31.3875
"184",2,"male",1,2,1,39
"185",3,"female",4,0,2,22.025
"186",1,"male",38,0,0,50
"187",3,"female",29,1,0,15.5
"188",1,"male",45,0,0,26.55
"189",3,"male",40,1,1,15.5
"190",3,"male",36,0,0,7.8958
"191",2,"female",32,0,0,13
"192",2,"male",19,0,0,13
"193",3,"female",19,1,0,7.8542
"194",2,"male",3,1,1,26
"195",1,"female",44,0,0,27.7208
"196",1,"female",58,0,0,146.5208
"197",3,"male",18,0,0,7.75
"198",3,"male",42,0,1,8.4042
"199",3,"female",18,0,0,7.75
"200",2,"female",24,0,0,13
"201",3,"male",28,0,0,9.5
"202",3,"male",14,8,2,69.55
"203",3,"male",34,0,0,6.4958
"204",3,"male",45.5,0,0,7.225
"205",3,"male",18,0,0,8.05
"206",3,"female",2,0,1,10.4625
"207",3,"male",32,1,0,15.85
"208",3,"male",26,0,0,18.7875
"209",3,"female",16,0,0,7.75
"210",1,"male",40,0,0,31
"211",3,"male",24,0,0,7.05
"212",2,"female",35,0,0,21
"213",3,"male",22,0,0,7.25
"214",2,"male",30,0,0,13
"215",3,"male",18,1,0,7.75
"216",1,"female",31,1,0,113.275
"217",3,"female",27,0,0,7.925
"218",2,"male",42,1,0,27
"219",1,"female",32,0,0,76.2917
"220",2,"male",30,0,0,10.5
"221",3,"male",16,0,0,8.05
"222",2,"male",27,0,0,13
"223",3,"male",51,0,0,8.05
"224",3,"male",44,0,0,7.8958
"225",1,"male",38,1,0,90
"226",3,"male",22,0,0,9.35
"227",2,"male",19,0,0,10.5
"228",3,"male",20.5,0,0,7.25
"229",2,"male",18,0,0,13
"230",3,"female",8,3,1,25.4667
"231",1,"female",35,1,0,83.475
"232",3,"male",29,0,0,7.775
"233",2,"male",59,0,0,13.5
"234",3,"female",5,4,2,31.3875
"235",2,"male",24,0,0,10.5
"236",3,"female",6,0,0,7.55
"237",2,"male",44,1,0,26
"238",2,"female",8,0,2,26.25
"239",2,"male",19,0,0,10.5
"240",2,"male",33,0,0,12.275
"241",3,"female",29,1,0,14.4542
"242",3,"female",4,1,0,15.5
"243",2,"male",29,0,0,10.5
"244",3,"male",22,0,0,7.125
"245",3,"male",30,0,0,7.225
"246",1,"male",44,2,0,90
"247",3,"female",25,0,0,7.775
"248",2,"female",24,0,2,14.5
"249",1,"male",37,1,1,52.5542
"250",2,"male",54,1,0,26
"251",3,"male",4,0,0,7.25
"252",3,"female",29,1,1,10.4625
"253",1,"male",62,0,0,26.55
"254",3,"male",30,1,0,16.1
"255",3,"female",41,0,2,20.2125
"256",3,"female",29,0,2,15.2458
"257",1,"female",52,0,0,79.2
"258",1,"female",30,0,0,86.5
"259",1,"female",35,0,0,512.3292
"260",2,"female",50,0,1,26
"261",3,"male",45,0,0,7.75
"262",3,"male",3,4,2,31.3875
"263",1,"male",52,1,1,79.65
"264",1,"male",40,0,0,0
"265",3,"female",18,0,0,7.75
"266",2,"male",36,0,0,10.5
"267",3,"male",16,4,1,39.6875
"268",3,"male",25,1,0,7.775
"269",1,"female",58,0,1,153.4625
"270",1,"female",35,0,0,135.6333
"271",1,"male",33,0,0,31
"272",3,"male",25,0,0,0
"273",2,"female",41,0,1,19.5
"274",1,"male",37,0,1,29.7
"275",3,"female",27,0,0,7.75
"276",1,"female",63,1,0,77.9583
"277",3,"female",45,0,0,7.75
"278",2,"male",18,0,0,0
"279",3,"male",7,4,1,29.125
"280",3,"female",35,1,1,20.25
"281",3,"male",65,0,0,7.75
"282",3,"male",28,0,0,7.8542
"283",3,"male",16,0,0,9.5
"284",3,"male",19,0,0,8.05
"285",1,"male",40,0,0,26
"286",3,"male",33,0,0,8.6625
"287",3,"male",30,0,0,9.5
"288",3,"male",22,0,0,7.8958
"289",2,"male",42,0,0,13
"290",3,"female",22,0,0,7.75
"291",1,"female",26,0,0,78.85
"292",1,"female",19,1,0,91.0792
"293",2,"male",36,0,0,12.875
"294",3,"female",24,0,0,8.85
"295",3,"male",24,0,0,7.8958
"296",1,"male",40,0,0,27.7208
"297",3,"male",23.5,0,0,7.2292
"298",1,"female",2,1,2,151.55
"299",1,"male",47,0,0,30.5
"300",1,"female",50,0,1,247.5208
"301",3,"female",6,0,0,7.75
"302",3,"male",5,2,0,23.25
"303",3,"male",19,0,0,0
"304",2,"female",27,0,0,12.35
"305",3,"male",27,0,0,8.05
"306",1,"male",0.92,1,2,151.55
"307",1,"female",24,0,0,110.8833
"308",1,"female",17,1,0,108.9
"309",2,"male",30,1,0,24
"310",1,"female",30,0,0,56.9292
"311",1,"female",24,0,0,83.1583
"312",1,"female",18,2,2,262.375
"313",2,"female",26,1,1,26
"314",3,"male",28,0,0,7.8958
"315",2,"male",43,1,1,26.25
"316",3,"female",26,0,0,7.8542
"317",2,"female",24,1,0,26
"318",2,"male",54,0,0,14
"319",1,"female",31,0,2,164.8667
"320",1,"female",40,1,1,134.5
"321",3,"male",22,0,0,7.25
"322",3,"male",27,0,0,7.8958
"323",2,"female",30,0,0,12.35
"324",2,"female",22,1,1,29
"325",3,"male",1,8,2,69.55
"326",1,"female",36,0,0,135.6333
"327",3,"male",61,0,0,6.2375
"328",2,"female",36,0,0,13
"329",3,"female",31,1,1,20.525
"330",1,"female",16,0,1,57.9792
"331",3,"female",0.75,2,0,23.25
"332",1,"male",45.5,0,0,28.5
"333",1,"male",38,0,1,153.4625
"334",3,"male",16,2,0,18
"335",1,"female",38,1,0,133.65
"336",3,"male",44,0,0,7.8958
"337",1,"male",29,1,0,66.6
"338",1,"female",41,0,0,134.5
"339",3,"male",45,0,0,8.05
"340",1,"male",45,0,0,35.5
"341",2,"male",2,1,1,26
"342",1,"female",24,3,2,263
"343",2,"male",28,0,0,13
"344",2,"male",25,0,0,13
"345",2,"male",36,0,0,13
"346",2,"female",24,0,0,13
"347",2,"female",40,0,0,13
"348",3,"female",29,1,0,16.1
"349",3,"male",3,1,1,15.9
"350",3,"male",42,0,0,8.6625
"351",3,"male",23,0,0,9.225
"352",1,"male",47,0,0,35
"353",3,"male",15,1,1,7.2292
"354",3,"male",25,1,0,17.8
"355",3,"male",6,0,0,7.225
"356",3,"male",28,0,0,9.5
"357",1,"female",22,0,1,55
"358",2,"female",38,0,0,13
"359",3,"female",4,0,0,7.8792
"360",3,"female",18,0,0,7.8792
"361",3,"male",40,1,4,27.9
"362",2,"male",29,1,0,27.7208
"363",3,"female",45,0,1,14.4542
"364",3,"male",35,0,0,7.05
"365",3,"male",29,1,0,15.5
"366",3,"male",30,0,0,7.25
"367",1,"female",60,1,0,75.25
"368",3,"female",18,0,0,7.2292
"369",3,"female",4,0,0,7.75
"370",1,"female",24,0,0,69.3
"371",1,"male",25,1,0,55.4417
"372",3,"male",18,1,0,6.4958
"373",3,"male",19,0,0,8.05
"374",1,"male",22,0,0,135.6333
"375",3,"female",3,3,1,21.075
"376",1,"female",4,1,0,82.1708
"377",3,"female",22,0,0,7.25
"378",1,"male",27,0,2,211.5
"379",3,"male",20,0,0,4.0125
"380",3,"male",19,0,0,7.775
"381",1,"female",42,0,0,227.525
"382",3,"female",1,0,2,15.7417
"383",3,"male",32,0,0,7.925
"384",1,"female",35,1,0,52
"385",3,"male",4,0,0,7.8958
"386",2,"male",18,0,0,73.5
"387",3,"male",1,5,2,46.9
"388",2,"female",36,0,0,13
"389",3,"male",45,0,0,7.7292
"390",2,"female",17,0,0,12
"391",1,"male",36,1,2,120
"392",3,"male",21,0,0,7.7958
"393",3,"male",28,2,0,7.925
"394",1,"female",23,1,0,113.275
"395",3,"female",24,0,2,16.7
"396",3,"male",22,0,0,7.7958
"397",3,"female",31,0,0,7.8542
"398",2,"male",46,0,0,26
"399",2,"male",23,0,0,10.5
"400",2,"female",28,0,0,12.65
"401",3,"male",39,0,0,7.925
"402",3,"male",26,0,0,8.05
"403",3,"female",21,1,0,9.825
"404",3,"male",28,1,0,15.85
"405",3,"female",20,0,0,8.6625
"406",2,"male",34,1,0,21
"407",3,"male",51,0,0,7.75
"408",2,"male",3,1,1,18.75
"409",3,"male",21,0,0,7.775
"410",3,"female",3,3,1,25.4667
"411",3,"male",6,0,0,7.8958
"412",3,"male",6,0,0,6.8583
"413",1,"female",33,1,0,90
"414",2,"male",18,0,0,0
"415",3,"male",44,0,0,7.925
"416",3,"female",6,0,0,8.05
"417",2,"female",34,1,1,32.5
"418",2,"female",18,0,2,13
"419",2,"male",30,0,0,13
"420",3,"female",10,0,2,24.15
"421",3,"male",4,0,0,7.8958
"422",3,"male",21,0,0,7.7333
"423",3,"male",29,0,0,7.875
"424",3,"female",28,1,1,14.4
"425",3,"male",18,1,1,20.2125
"426",3,"male",45,0,0,7.25
"427",2,"female",28,1,0,26
"428",2,"female",19,0,0,26
"429",3,"male",4,0,0,7.75
"430",3,"male",32,0,0,8.05
"431",1,"male",28,0,0,26.55
"432",3,"female",18,1,0,16.1
"433",2,"female",42,1,0,26
"434",3,"male",17,0,0,7.125
"435",1,"male",50,1,0,55.9
"436",1,"female",14,1,2,120
"437",3,"female",21,2,2,34.375
"438",2,"female",24,2,3,18.75
"439",1,"male",64,1,4,263
"440",2,"male",31,0,0,10.5
"441",2,"female",45,1,1,26.25
"442",3,"male",20,0,0,9.5
"443",3,"male",25,1,0,7.775
"444",2,"female",28,0,0,13
"445",3,"male",4,0,0,8.1125
"446",1,"male",4,0,2,81.8583
"447",2,"female",13,0,1,19.5
"448",1,"male",34,0,0,26.55
"449",3,"female",5,2,1,19.2583
"450",1,"male",52,0,0,30.5
"451",2,"male",36,1,2,27.75
"452",3,"male",34,1,0,19.9667
"453",1,"male",30,0,0,27.75
"454",1,"male",49,1,0,89.1042
"455",3,"male",6,0,0,8.05
"456",3,"male",29,0,0,7.8958
"457",1,"male",65,0,0,26.55
"458",1,"female",4,1,0,51.8625
"459",2,"female",50,0,0,10.5
"460",3,"male",4,0,0,7.75
"461",1,"male",48,0,0,26.55
"462",3,"male",34,0,0,8.05
"463",1,"male",47,0,0,38.5
"464",2,"male",48,0,0,13
"465",3,"male",4,0,0,8.05
"466",3,"male",38,0,0,7.05
"467",2,"male",18,0,0,0
"468",1,"male",56,0,0,26.55
"469",3,"male",18,0,0,7.725
"470",3,"female",0.75,2,1,19.2583
"471",3,"male",27,0,0,7.25
"472",3,"male",38,0,0,8.6625
"473",2,"female",33,1,2,27.75
"474",2,"female",23,0,0,13.7917
"475",3,"female",22,0,0,9.8375
"476",1,"male",40,0,0,52
"477",2,"male",34,1,0,21
"478",3,"male",29,1,0,7.0458
"479",3,"male",22,0,0,7.5208
"480",3,"female",2,0,1,12.2875
"481",3,"male",9,5,2,46.9
"482",2,"male",18,0,0,0
"483",3,"male",50,0,0,8.05
"484",3,"female",63,0,0,9.5875
"485",1,"male",25,1,0,91.0792
"486",3,"female",3,3,1,25.4667
"487",1,"female",35,1,0,90
"488",1,"male",58,0,0,29.7
"489",3,"male",30,0,0,8.05
"490",3,"male",9,1,1,15.9
"491",3,"male",28,1,0,19.9667
"492",3,"male",21,0,0,7.25
"493",1,"male",55,0,0,30.5
"494",1,"male",71,0,0,49.5042
"495",3,"male",21,0,0,8.05
"496",3,"male",18,0,0,14.4583
"497",1,"female",54,1,0,78.2667
"498",3,"male",18,0,0,15.1
"499",1,"female",25,1,2,151.55
"500",3,"male",24,0,0,7.7958
"501",3,"male",17,0,0,8.6625
"502",3,"female",21,0,0,7.75
"503",3,"female",18,0,0,7.6292
"504",3,"female",37,0,0,9.5875
"505",1,"female",16,0,0,86.5
"506",1,"male",18,1,0,108.9
"507",2,"female",33,0,2,26
"508",1,"male",33,0,0,26.55
"509",3,"male",28,0,0,22.525
"510",3,"male",26,0,0,56.4958
"511",3,"male",29,0,0,7.75
"512",3,"male",6,0,0,8.05
"513",1,"male",36,0,0,26.2875
"514",1,"female",54,1,0,59.4
"515",3,"male",24,0,0,7.4958
"516",1,"male",47,0,0,34.0208
"517",2,"female",34,0,0,10.5
"518",3,"male",21,0,0,24.15
"519",2,"female",36,1,0,26
"520",3,"male",32,0,0,7.8958
"521",1,"female",30,0,0,93.5
"522",3,"male",22,0,0,7.8958
"523",3,"male",4,0,0,7.225
"524",1,"female",44,0,1,57.9792
"525",3,"male",18,0,0,7.2292
"526",3,"male",40.5,0,0,7.75
"527",2,"female",50,0,0,10.5
"528",1,"male",22,0,0,221.7792
"529",3,"male",39,0,0,7.925
"530",2,"male",23,2,1,11.5
"531",2,"female",2,1,1,26
"532",3,"male",4,0,0,7.2292
"533",3,"male",17,1,1,7.2292
"534",3,"female",19,0,2,22.3583
"535",3,"female",30,0,0,8.6625
"536",2,"female",7,0,2,26.25
"537",1,"male",45,0,0,26.55
"538",1,"female",30,0,0,106.425
"539",3,"male",18,0,0,14.5
"540",1,"female",22,0,2,49.5
"541",1,"female",36,0,2,71
"542",3,"female",9,4,2,31.275
"543",3,"female",11,4,2,31.275
"544",2,"male",32,1,0,26
"545",1,"male",50,1,0,106.425
"546",1,"male",64,0,0,26
"547",2,"female",19,1,0,26
"548",2,"male",46,0,0,13.8625
"549",3,"male",33,1,1,20.525
"550",2,"male",8,1,1,36.75
"551",1,"male",17,0,2,110.8833
"552",2,"male",27,0,0,26
"553",3,"male",18,0,0,7.8292
"554",3,"male",22,0,0,7.225
"555",3,"female",22,0,0,7.775
"556",1,"male",62,0,0,26.55
"557",1,"female",48,1,0,39.6
"558",1,"male",19,0,0,227.525
"559",1,"female",39,1,1,79.65
"560",3,"female",36,1,0,17.4
"561",3,"male",45,0,0,7.75
"562",3,"male",40,0,0,7.8958
"563",2,"male",28,0,0,13.5
"564",3,"male",44,0,0,8.05
"565",3,"female",45,0,0,8.05
"566",3,"male",24,2,0,24.15
"567",3,"male",19,0,0,7.8958
"568",3,"female",29,0,4,21.075
"569",3,"male",4,0,0,7.2292
"570",3,"male",32,0,0,7.8542
"571",2,"male",62,0,0,10.5
"572",1,"female",53,2,0,51.4792
"573",1,"male",36,0,0,26.3875
"574",3,"female",45,0,0,7.75
"575",3,"male",16,0,0,8.05
"576",3,"male",19,0,0,14.5
"577",2,"female",34,0,0,13
"578",1,"female",39,1,0,55.9
"579",3,"female",15,1,0,14.4583
"580",3,"male",32,0,0,7.925
"581",2,"female",25,1,1,30
"582",1,"female",39,1,1,110.8833
"583",2,"male",54,0,0,26
"584",1,"male",36,0,0,40.125
"585",3,"male",18,0,0,8.7125
"586",1,"female",18,0,2,79.65
"587",2,"male",47,0,0,15
"588",1,"male",60,1,1,79.2
"589",3,"male",22,0,0,8.05
"590",3,"male",45,0,0,8.05
"591",3,"male",35,0,0,7.125
"592",1,"female",52,1,0,78.2667
"593",3,"male",47,0,0,7.25
"594",3,"female",17,0,2,7.75
"595",2,"male",37,1,0,26
"596",3,"male",36,1,1,24.15
"597",2,"female",16,0,0,33
"598",3,"male",49,0,0,0
"599",3,"male",27,0,0,7.225
"600",1,"male",49,1,0,56.9292
"601",2,"female",24,2,1,27
"602",3,"male",18,0,0,7.8958
"603",1,"male",39,0,0,42.4
"604",3,"male",44,0,0,8.05
"605",1,"male",35,0,0,26.55
"606",3,"male",36,1,0,15.55
"607",3,"male",30,0,0,7.8958
"608",1,"male",27,0,0,30.5
"609",2,"female",22,1,2,41.5792
"610",1,"female",40,0,0,153.4625
"611",3,"female",39,1,5,31.275
"612",3,"male",18,0,0,7.05
"613",3,"female",1,1,0,15.5
"614",3,"male",45,0,0,7.75
"615",3,"male",35,0,0,8.05
"616",2,"female",24,1,2,65
"617",3,"male",34,1,1,14.4
"618",3,"female",26,1,0,16.1
"619",2,"female",4,2,1,39
"620",2,"male",26,0,0,10.5
"621",3,"male",27,1,0,14.4542
"622",1,"male",42,1,0,52.5542
"623",3,"male",20,1,1,15.7417
"624",3,"male",21,0,0,7.8542
"625",3,"male",21,0,0,16.1
"626",1,"male",61,0,0,32.3208
"627",2,"male",57,0,0,12.35
"628",1,"female",21,0,0,77.9583
"629",3,"male",26,0,0,7.8958
"630",3,"male",6,0,0,7.7333
"631",1,"male",80,0,0,30
"632",3,"male",51,0,0,7.0542
"633",1,"male",32,0,0,30.5
"634",1,"male",39,0,0,0
"635",3,"female",9,3,2,27.9
"636",2,"female",28,0,0,13
"637",3,"male",32,0,0,7.925
"638",2,"male",31,1,1,26.25
"639",3,"female",41,0,5,39.6875
"640",3,"male",29,1,0,16.1
"641",3,"male",20,0,0,7.8542
"642",1,"female",24,0,0,69.3
"643",3,"female",2,3,2,27.9
"644",3,"male",23,0,0,56.4958
"645",3,"female",0.75,2,1,19.2583
"646",1,"male",48,1,0,76.7292
"647",3,"male",19,0,0,7.8958
"648",1,"male",56,0,0,35.5
"649",3,"male",6,0,0,7.55
"650",3,"female",23,0,0,7.55
"651",3,"male",18,0,0,7.8958
"652",2,"female",18,0,1,23
"653",3,"male",21,0,0,8.4333
"654",3,"female",45,0,0,7.8292
"655",3,"female",18,0,0,6.75
"656",2,"male",24,2,0,73.5
"657",3,"male",18,0,0,7.8958
"658",3,"female",32,1,1,15.5
"659",2,"male",23,0,0,13
"660",1,"male",58,0,2,113.275
"661",1,"male",50,2,0,133.65
"662",3,"male",40,0,0,7.225
"663",1,"male",47,0,0,25.5875
"664",3,"male",36,0,0,7.4958
"665",3,"male",20,1,0,7.925
"666",2,"male",32,2,0,73.5
"667",2,"male",25,0,0,13
"668",3,"male",27,0,0,7.775
"669",3,"male",43,0,0,8.05
"670",1,"female",36,1,0,52
"671",2,"female",40,1,1,39
"672",1,"male",31,1,0,52
"673",2,"male",70,0,0,10.5
"674",2,"male",31,0,0,13
"675",2,"male",36,0,0,0
"676",3,"male",18,0,0,7.775
"677",3,"male",24.5,0,0,8.05
"678",3,"female",18,0,0,9.8417
"679",3,"female",43,1,6,46.9
"680",1,"male",36,0,1,512.3292
"681",3,"female",6,0,0,8.1375
"682",1,"male",27,0,0,76.7292
"683",3,"male",20,0,0,9.225
"684",3,"male",14,5,2,46.9
"685",2,"male",60,1,1,39
"686",2,"male",25,1,2,41.5792
"687",3,"male",14,4,1,39.6875
"688",3,"male",19,0,0,10.1708
"689",3,"male",18,0,0,7.7958
"690",1,"female",15,0,1,211.3375
"691",1,"male",31,1,0,57
"692",3,"female",4,0,1,13.4167
"693",3,"male",24,0,0,56.4958
"694",3,"male",25,0,0,7.225
"695",1,"male",60,0,0,26.55
"696",2,"male",52,0,0,13.5
"697",3,"male",44,0,0,8.05
"698",3,"female",45,0,0,7.7333
"699",1,"male",49,1,1,110.8833
"700",3,"male",42,0,0,7.65
"701",1,"female",18,1,0,227.525
"702",1,"male",35,0,0,26.2875
"703",3,"female",18,0,1,14.4542
"704",3,"male",25,0,0,7.7417
"705",3,"male",26,1,0,7.8542
"706",2,"male",39,0,0,26
"707",2,"female",45,0,0,13.5
"708",1,"male",42,0,0,26.2875
"709",1,"female",22,0,0,151.55
"710",3,"male",1,1,1,15.2458
"711",1,"female",24,0,0,49.5042
"712",1,"male",40,0,0,26.55
"713",1,"male",48,1,0,52
"714",3,"male",29,0,0,9.4833
"715",2,"male",52,0,0,13
"716",3,"male",19,0,0,7.65
"717",1,"female",38,0,0,227.525
"718",2,"female",27,0,0,10.5
"719",3,"male",45,0,0,15.5
"720",3,"male",33,0,0,7.775
"721",2,"female",6,0,1,33
"722",3,"male",17,1,0,7.0542
"723",2,"male",34,0,0,13
"724",2,"male",50,0,0,13
"725",1,"male",27,1,0,53.1
"726",3,"male",20,0,0,8.6625
"727",2,"female",30,3,0,21
"728",3,"female",45,0,0,7.7375
"729",2,"male",25,1,0,26
"730",3,"female",25,1,0,7.925
"731",1,"female",29,0,0,211.3375
"732",3,"male",11,0,0,18.7875
"733",2,"male",19,0,0,0
"734",2,"male",23,0,0,13
"735",2,"male",23,0,0,13
"736",3,"male",28.5,0,0,16.1
"737",3,"female",48,1,3,34.375
"738",1,"male",35,0,0,512.3292
"739",3,"male",6,0,0,7.8958
"740",3,"male",4,0,0,7.8958
"741",1,"male",47,0,0,30
"742",1,"male",36,1,0,78.85
"743",1,"female",21,2,2,262.375
"744",3,"male",24,1,0,16.1
"745",3,"male",31,0,0,7.925
"746",1,"male",70,1,1,71
"747",3,"male",16,1,1,20.25
"748",2,"female",30,0,0,13
"749",1,"male",19,1,0,53.1
"750",3,"male",31,0,0,7.75
"751",2,"female",4,1,1,23
"752",3,"male",6,0,1,12.475
"753",3,"male",33,0,0,9.5
"754",3,"male",23,0,0,7.8958
"755",2,"female",48,1,2,65
"756",2,"male",0.67,1,1,14.5
"757",3,"male",28,0,0,7.7958
"758",2,"male",18,0,0,11.5
"759",3,"male",34,0,0,8.05
"760",1,"female",33,0,0,86.5
"761",3,"male",45,0,0,14.5
"762",3,"male",41,0,0,7.125
"763",3,"male",20,0,0,7.2292
"764",1,"female",36,1,2,120
"765",3,"male",16,0,0,7.775
"766",1,"female",51,1,0,77.9583
"767",1,"male",40,0,0,39.6
"768",3,"female",30.5,0,0,7.75
"769",3,"male",4,1,0,24.15
"770",3,"male",32,0,0,8.3625
"771",3,"male",24,0,0,9.5
"772",3,"male",48,0,0,7.8542
"773",2,"female",57,0,0,10.5
